MM,Interest,p_corr
1,1,-0.6553225413462515
2,1,0.2051539212174042
2,8,0.20695768242409712
2,10,0.20305214256766083
3,1,0.21080812357532652
3,4,0.20182712529562383
3,5,0.20034504754019744
3,6,0.21727061614572826
3,7,0.21412187483802353
3,8,0.22674812848256556
3,9,0.21735492831818023
3,10,0.22421162833965572
3,11,0.20863623524839198
3,12,0.21102554839664678
4,1,0.2297532973955818
4,6,0.21351577405092106
4,7,0.20552027713805113
4,8,0.22210306494562332
4,9,0.20806722003750044
4,10,0.21971974414625972
4,11,0.20070498768143225
4,12,0.20640860282314463
5,1,0.22677987751865358
5,4,0.20875951331827527
5,5,0.208912636483229
5,6,0.22533833179358953
5,7,0.22169268665343542
5,8,0.23478496925755213
5,9,0.225005263369533
5,10,0.23253802205252255
5,11,0.2173612669536257
5,12,0.22071595728127738
5,13,0.2027806506162284
5,14,0.2033442137145669
6,1,0.24146678649331998
6,6,0.21597031957979132
6,7,0.20813344045468166
6,8,0.2251342130766623
6,9,0.2114409358542475
6,10,0.22315259929181563
6,11,0.2057826707607074
6,12,0.21339540099709114
7,1,0.23492761570477816
7,4,0.20475507796405282
7,5,0.2052589382699631
7,6,0.22184561368006497
7,7,0.21904242097220286
7,8,0.23230983961111773
7,9,0.22380315769272077
7,10,0.23275604270013867
7,11,0.21907301152680905
7,12,0.2242847528901527
7,13,0.2092902529969999
7,14,0.211368993335737
8,1,0.24690072958023546
8,6,0.20776446641820762
8,7,0.2014846698914978
8,8,0.21846195786865905
8,9,0.20769398761098118
8,10,0.22034880205907303
8,11,0.20627268424567416
8,12,0.2149952496377775
8,14,0.20532034259399523
9,1,0.23895634539121258
9,6,0.2096276441069627
9,7,0.20757945925519286
9,8,0.2221265751926775
9,9,0.2158506874893024
9,10,0.22612547557559048
9,11,0.21657661297013905
9,12,0.223539660904364
9,13,0.21107350374147388
9,14,0.2147290654807289
9,15,0.2030405635064969
9,16,0.20594065470905604
10,1,0.2493971122691156
10,8,0.20608758000258348
10,10,0.21287961698875638
10,11,0.20296910208731303
10,12,0.21301062496894232
10,13,0.2007441829310587
10,14,0.20729934308737993
10,16,0.20163552823485872
11,1,0.241842638740619
11,8,0.20758991722017986
11,9,0.20435286590854573
11,10,0.2163046290767798
11,11,0.20991849109078795
11,12,0.21822583280619423
11,13,0.20966340008711765
11,14,0.21506149323064822
11,15,0.2056732562519778
11,16,0.21035311918058075
11,17,0.20070126229333407
11,18,0.20415008100154192
12,1,0.25107607539999427
12,10,0.20235149348140224
12,12,0.20707995783697866
12,14,0.20674291896018618
12,16,0.20439457878891862
12,18,0.20058099049166447
13,1,0.24409938995395794
13,10,0.20382151835269402
13,11,0.20025014269155944
13,12,0.2101813663947845
13,13,0.20470056510247805
13,14,0.21310453318527822
13,15,0.20536328584061486
13,16,0.2115000960656201
13,17,0.20353469869370677
13,18,0.20824197257961338
13,19,0.20097811067937627
13,20,0.20387513397961426
14,1,0.25221362089968585
14,14,0.20353834929645
14,16,0.20422176338237039
14,18,0.20340183094525197
14,20,0.20127589015678402
15,1,0.24647108503131027
15,12,0.201750902729616
15,14,0.20787266235631696
15,15,0.2024091477253535
15,16,0.20969650109512422
15,17,0.20345290686730066
15,18,0.20892700083368212
15,19,0.20327759231189177
15,20,0.20688648919628866
15,21,0.20122454995305492
15,22,0.20309937506848116
16,1,0.25418511268225724
16,16,0.20155434746886874
16,18,0.20302136969807985
16,20,0.20301213703108728
16,22,0.20122326464531504
17,1,0.24887268340045537
17,14,0.20020172521973983
17,16,0.205041115593063
17,17,0.20099106423027613
17,18,0.20726611250773302
17,19,0.20253240662767746
17,20,0.20698448359655292
17,21,0.2027496882894338
17,22,0.20577377426439522
17,23,0.20134526736925112
18,1,0.2555558853321175
18,18,0.20047637977133087
18,20,0.20215056997013395
18,22,0.202748597154295
19,1,0.24970551452915216
19,18,0.20283032478043644
19,19,0.20001182771807802
19,20,0.20558181979049933
19,21,0.20190881221892668
19,22,0.20608623317328575
19,23,0.20274537544086338
20,1,0.254732109918155
20,22,0.2018689483676295
21,1,0.24844250359839273
21,20,0.20192999961323577
21,22,0.20520118786016459
21,23,0.20204600124516475
22,1,0.2526546218919028
22,22,0.20014592392399308
23,1,0.24657917970793447
23,22,0.20230699465361723
23,23,0.20064329664713249
24,1,0.25071152606441605
25,1,0.24506967607812766
26,1,0.2490956943286301
27,1,0.2428369252812915
28,1,0.24682502157206304
29,1,0.2409096683035931
30,1,0.24499541174937972
31,1,0.23947544531096587
32,1,0.2434682437395162
33,1,0.23818532611087917
34,1,0.24212770243194548
35,1,0.23730990528743903
